key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
Share with friends,Share with friends,Comparte con amigos,Partager avec des amis,Partilhar com amigos,Condividi con gli amici,Mit Freunden teilen,Μοιραστείτε με φίλους,Arkadaşlarla paylaşın,Deel met vriende
To add a friend,To add a friend,Añadir un amigo,Pour ajouter un ami,Para adicionar um amigo,Per aggiungere un amico,Hinzufügen eines Freundes,Για να προσθέσετε έναν φίλο,Bir arkadaş eklemek için,Om ’n vriend by te voeg
Enter their Kid Code here,Enter their Kid Code here,Introduce aquí su código infantil,Saisissez leur code enfant ici,Introduza aqui o Código da Criança,Inserisci qui il suo codice bambino,Hier den Kindercode eingeben,Εισαγάγετε τον Κωδικό Παιδιού του εδώ,Çocuk Kodunu buraya girin,Voer hul kinderkode hier in
Delete Profile,Delete Profile,Borrar perfil,Supprimer le profil,Apagar perfil,Elimina profilo,Profil löschen,Διαγραφή προφίλ,Profili Sil,Skrap profiel
Delete?,Delete?,¿Quieres borrarlo?,Supprimer ?,Apagar?,Eliminare?,Löschen?,Διαγραφή;,Silinsin mi?,Skrap?
Are you sure you want to delete this profile?,Are you sure you want to delete this profile?,¿Seguro que quieres borrar este perfil?,Voulez-vous supprimer ce profil ?,De certeza que pretende apagar este perfil?,Vuoi davvero eliminare questo profilo?,Möchten Sie dieses Profil wirklich löschen?,Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το προφίλ;,Bu profili silmek istediğinizden emin misiniz?,Is jy seker jy wil hierdie profiel skrap?
Delete,Delete,Borrar,Supprimer,Apagar,Elimina,Löschen,Διαγραφή,Sil,Skrap
Cancel,Cancel,Cancelar,Annuler,Cancelar,Annulla,Abbrechen,Ακύρωση,İptal Et,Kanselleer
There are no new friendships to approve right now.,There are no new friendships to approve right now.,No tienes solicitudes de amigos nuevos.,Pas de demande d'ami à approuver.,Neste momento não há novas amizades para aprovar.,Al momento non ci sono nuovi amici da approvare.,Derzeit gibt es keine Freundschaften zu genehmigen.,Δεν υπάρχουν νέες φιλίες προς έγκριση αυτήν τη στιγμή.,Şu anda onaylanacak yeni arkadaşlık yok.,Daar is tans geen nuwe vriendskappe om goed te keur nie.
Keeping your family safe online,Keeping your family safe online,Seguridad en línea para la familia,Garantir la sécurité de votre famille en ligne,Manter a sua família segura online,Mantenere al sicuro la tua famiglia,"So sorgen Sie dafür, dass Ihre Familie online sicher ist",Κρατήστε την οικογένειά σας ασφαλή στο διαδίκτυο,Ailenizin çevrimiçi güvenliğini sağlamak,Ons hou jou gesin veilig aanlyn
titleAdult1,1/5 Who are your kids talking to?,1/5 ¿Con quién hablan tus hijos?,1/5 À qui parlent vos enfants?,1/5 Com quem estão os seus filhos a conversar?,1/5 Con chi parlano i tuoi figli?,1/5 Mit wem sprechen Ihre Kinder?,1/5 Με ποιον συνομιλούν τα παιδιά σας;,1/5 Çocuklarınız kimlerle konuşuyoruz?,1/5 Met wie praat jou kinders?
mainTextAdult1,"All connections on Azoomee must be approved by parent/guardians before children can send or receive any messages. You should always be careful when adding friends for your child or confirming friendships. If in doubt, check and don't connect!","Los padres o tutores deberán aceptar todas las conexiones a Azoomee antes de que los niños puedan enviar o recibir mensajes. Presta atención al añadir o confirmar amigos para tus hijos. En caso de duda, abstente de realizar conexión alguna.","Toutes les connexions sur Azoomee doivent être approuvées par un parent/tuteur avant que l'enfant ne puisse envoyer ou recevoir un message. Faites toujours très attention lorsque vous ajoutez ou approuvez des amis pour votre enfant. En cas de doute, vérifiez et ne les approuvez pas !","Todas as ligações ao Azoomee devem ser aprovadas pelos pais/responsáveis antes de as crianças poderem enviar ou receber quaisquer mensagens. Deve sempre ter cuidado quando adiciona amigos para o seu filho ou quando confirma amizades. Quando em dúvida, verifique e não estabeleça ligação!","Tutti i contatti su Azoomee devono essere approvati da un genitore/tutore, prima che i bambini possano inviare o ricevere un messaggio. Fai sempre molta attenzione prima di aggiungere nuovi amici o confermare le amicizie del bambino. Nel dubbio, controlla e non autorizzare il contatto!","Alle Kontakte auf Azoomee müssen zuerst von einem Elternteil/Erziehungsberechtigten genehmigt werden, bevor die Kinder Nachrichten empfangen oder senden können. Seien Sie stets wachsam, wenn Sie Freunde für Ihr Kind hinzufügen oder Freundschaften bestätigen. Sollten Sie Zweifel haben, dann prüfen Sie nach und verbinden Sie den Kontakt nicht!","Όλες οι διασυνδέσεις στο Azoomee πρέπει να επιβεβαιώνονται από τους γονείς/κηδεμόνες πριν μπορέσουν τα παιδιά να στείλουν ή να λάβουν οποιοδήποτε μήνυμα. Πρέπει να είστε πάντα προσεκτικοί όταν προσθέτετε φίλους για το παιδί σας ή όταν επιβεβαιώνετε φιλίες. Εάν έχετε αμφιβολίες, ελέγξτε και μην συνδεθείτε!","Azoomee'deki tüm bağlantılar, çocukların mesaj alıp göndermesi için öncelikle ebeveynleri/velileri tarafından onaylanmalıdır. Çocuğunuz için arkadaş eklerken veya arkadaşlıkları onaylarken daima dikkatli olmalısınız. Şüphe duyduğunuz durumlarda kontrol edin ve bağlantı sağlamayın!","Alle verbindings op Azoomee moet deur ouers/voogde goedgekeur word voordat kinders boodskappe kan stuur of ontvang. Wees altyd versigtig wanneer jy vriende vir jou kind byvoeg of vriendskappe bevestig. As jy twyfel, maak seker en moenie verbind nie!"
Watch Search it up,Watch Search it up,Ver Búscalo,Regarder Search it up,Ver pesquisar,Guarda Search it up,„Search it up“ ansehen,Παρακολουθήστε το Search it up,Search it up'ı İzleyin,Kyk “Soek dit op”
titleAdult2,2/5 What are they talking about?,2/5 ¿De qué tratan sus conversaciones?,2/5 De quoi parlent-ils?,2/5 De que estão eles a falar?,2/5 Di cosa parlano?,2/5 Worüber sprechen sie?,2/5 Για ποια θέματα συζητούν;,2/5 Ne hakkında konuşuyorlar?,2/5 Waaroor praat hulle?
mainTextAdult2,"You can see and moderate all chat conversations.  You should regularly keep an eye on what your children are talking about and sharing.  If you see anything inappropriate, or if your kids alert you to a problem, talk about it with them, so they understand your concerns and think about being smart, safe and kind online.
","Puedes ver y moderar todas las conversaciones de chat. Presta atención a las conversaciones de tus hijos y a los contenidos que comparten. Si ves algo inapropiado o tus hijos te avisan de algún problema, habla con ellos para que entiendan tus inquietudes y adopta una actitud inteligente, segura y amable en línea.","Vous pouvez voir et modérer toutes les conversations. Surveillez régulièrement le contenu des conversations de vos enfants et ce qu'ils partagent. Si vous y trouvez du contenu inapproprié, ou si vos enfants vous font part d'un problème, parlez-en avec eux afin qu'ils comprennent vos inquiétudes et qu'ils les intègrent pour développer un comportement intelligent, prudent et bienveillant en ligne.","Pode ver e moderar todas as conversas no chat. Deve manter-se regularmente a par dos temas das conversas dos seus filhos e do que eles partilham. Caso veja algo impróprio, ou se os seus filhos o alertarem para qualquer problema, converse com eles sobre isso, para que compreendam as suas preocupações e pensem sobre serem inteligentes e atenciosos, e manterem-se seguros online.","Puoi visualizzare e moderare tutte le conversazioni nella chat. Controlla regolarmente di cosa parlano e cosa condividono i tuoi figli. Se dovessi scoprire qualcosa di inappropriato, o se i tuoi figli dovessero segnalarti un problema, parlane con loro, in modo che comprendano le tue preoccupazioni e imparino a comportarsi in maniera intelligente, sicura ed educata online.","Sie können alle Unterhaltungen sehen und moderieren. Sie sollten regelmäßig im Auge behalten, über was ihre Kinder sprechen. Wenn Ihnen etwas Unangemessenes auffällt oder Ihre Kinder Sie auf ein Problem aufmerksam machen, dann sprechen Sie mit ihnen. So können die Kinder Ihre Bedenken verstehen und darüber nachdenken, wie man sich online clever, sicher und freundlich verhält.","Μπορείτε να παρακολουθήσετε και να συντονίσετε όλες τις ηλεκτρονικές συνομιλίες. Θα πρέπει να παρακολουθείτε τακτικά όσα συζητούν και μοιράζονται τα παιδιά σας. Εάν αντιληφθείτε κάτι ακατάλληλο, ή εάν τα παιδιά σας σας επισημάνουν κάποιο πρόβλημα, συζητήστε μαζί τους για αυτό, προκειμένου να κατανοήσουν τις ανησυχίες σας και να αναλογιστούν ότι θα πρέπει να συμπεριφέρονται με εξυπνάδα, ασφάλεια και ευγένεια στο διαδίκτυο.","Tüm sohbet görüşmelerini görebilir ve yönetebilirsiniz. Çocuklarınızın ne hakkında konuştuklarını ve neler paylaştıklarını düzenli olarak takip etmelisiniz. Uygunsuz bir şey görmeniz veya çocuklarınızın bir sorun hakkında uyarı vermesi durumunda, bu konu hakkında onlarla kaygılarınızı anlayacakları ve çevrimiçi ortamda akıllı, güvenli ve nazik olmaya dair düşünmelerini sağlayacak şekilde konuşun.","Jy kan alle kletsgesprekke sien en dit modereer. Jy moet gereeld ’n ogie hou oor waaroor jou kinders praat en wat hulle deel. As jy iets onvanpas sien, of as jou kinders jou van ’n probleem vertel, gesels met hulle daaroor sodat hulle verstaan waarom jy besorg is en sélf kan probeer om slim, veilig en vriendelik aanlyn te wees."
titleAdult3,3/5 Be careful with personal information.,3/5 Protege la información personal.,3/5 Faites attention aux informations personnelles.,3/5 Tenha cuidado com os seus dados pessoais.,3/5 Fai attenzione alle informazioni personali.,3/5 Lassen Sie Vorsicht walten bei personenbezogenen Daten.,3/5 Να είστε προσεκτικοί με τα προσωπικά στοιχεία,3/5 Kişisel bilgilerle ilgili dikkatli olun.,3/5 Wees versigtig met persoonlike inligting.
mainTextAdult3,"It's important for you to talk to your children about personal information and what is and isn't ok to share online.Children should not share personal information that is private on Azoomee. This includes passwords, full name, address, phone number, email and school name.Children should also be reminded to 'share with care' and pause to think before sending something.","Es importante que hables con tus hijos sobre la información personal y sobre aquello que deben o no compartir en línea. No se debe compartir la información personal que es privada en Azoomee. En esta información se incluyen las contraseñas, el nombre y los apellidos, la dirección, el número de teléfono, el correo electrónico y el nombre del colegio. Debes recordar a tus hijos que han de «compartir responsablemente» y que reconsideren cualquier envío que deseen realizar.","Il est important que vous parliez à vos enfants de ce que sont les informations personnelles et de ce qu'il ne faut pas partager en ligne. Les enfants ne doivent pas partager d'information privée sur Azoomee. Ceci comprend les mots de passe, noms, adresses, numéros de téléphone, adresses e-mail et noms d'établissements scolaires. Rappelez aussi à vos enfants d'être prudents et de réfléchir à deux fois avant d'envoyer quoi que ce soit.","É importante que converse com os seus filhos acerca de dados pessoais e sobre o que pode e não pode ser partilhado online. As crianças não devem partilhar dados pessoais que sejam privados no Azoomee. Isto inclui passwords, o nome completo, morada, número de telefone, email e o nome da escola. Também deve lembrar as crianças de que devem ‘partilhar cuidadosamente’ e parar para pensar antes de enviarem seja o que for.","È molto importante parlare con i tuoi figli sull’importanza delle informazioni personali e su cosa non bisogna condividere online. I bambini non devono condividere informazioni personali, che sono private su Azoomee. Ad esempio password, nome, indirizzo, numero di telefono, e-mail e nome della propria scuola. È anche importante ricordare ai bambini di “condividere con attenzione” ogni eventuale informazione e di pensarci due volte prima di inviare qualsiasi cosa.","Es ist wichtig, dass Sie mit Ihren Kindern über personenbezogene Daten und darüber sprechen, was man online teilen darf und was nicht. Kinder sollten keine personenbezogenen Daten, die auf Azoomee privat sind, teilen. Dazu zählen Passwörter, der vollständige Name, Adresse, Telefonnummer, E-Mail und der Name der Schule. Kinder sollten auch ermahnt werden, Vorsicht bei der Weitergabe walten zu lassen, und erst nachzudenken, bevor sie etwas senden.","Είναι σημαντικό να συζητήσετε με τα παιδιά σας για τα προσωπικά στοιχεία και για το τι επιτρέπεται και τι δεν επιτρέπεται να μοιράζονται στο διαδίκτυο. Τα παιδιά δεν θα πρέπει να μοιράζονται προσωπικά στοιχεία που είναι απόρρητα στο Azoomee. Σε αυτά περιλαμβάνονται κωδικοί, ονοματεπώνυμο, διεύθυνση, αριθμός τηλεφώνου, διεύθυνση email και όνομα σχολείου. Θα πρέπει επίσης να υπενθυμίζετε στα παιδιά να μοιράζονται με σύνεση και να σκέφτονται προτού στείλουν κάτι.","Çocuklarınızla kişisel bilgiler ve çevrimiçi ortamda neleri paylaşabilecekleri ve neleri paylaşmayacakları hakkında konuşmanız önemlidir.Çocuklar gizli olan kişisel bilgileri Azoomee üzerinden paylaşmamalıdır. Bu bilgiler arasında parolalar, tam ad, adres, telefon numarası, e-posta ve okul adı bulunmaktadır.Çocuklara ayrıca ""paylaşırken dikkatli olmaları"" ve bir şey göndermeden önce bir durum düşünmeleri gerektiği hatırlatılmalıdır.","Gesels met jou kinders oor persoonlike inligting, soos wat gepas is om aanlyn te deel en wat nié. Kinders moenie persoonlike inligting wat privaat is, op Azoomee deel nie. Dit sluit in wagwoorde, hul volle naam, adres, foonnommer, e-posadres en naam van hul skool. Herinner jou kinders om “versigtig” te deel en na te dink voordat hulle iets stuur."
titleAdult4,4/5 Talk about it,4/5 Las cartas sobre la mesa,4/5 Discuter,4/5 Falar de tudo.,4/5 Parla con loro,4/5 Sprechen Sie drüber.,4/5 Συζητήστε για αυτό,4/5 Konu hakkında konuşun,4/5 Gesels daaroor
mainTextAdult4,"Remind your children that if they read or experience anything upsetting on Azoomee Chat - such as mean messages or consistent negativity - they need to talk about it with you or a trusted adult. This is cyber bullying, and it's as harmful as bullying in the real world.","Recuerda a tus hijos que si leen o experimentan algo desagradable en Azoomee Chat (como mensajes malintencionados o actitudes negativas), deben hablar contigo o con algún adulto de confianza al respecto. Se llama ciberacoso y es tan nocivo como el acoso en la vida real.","Rappelez à vos enfants que s'ils lisent ou rencontrent quelque chose de perturbant sur Azoomee Chat, par exemple des messages malveillants ou constamment négatifs, ils doivent en parler avec vous ou un adulte de confiance. Il s'agit de harcèlement en ligne, qui est tout aussi préjudiciable que le harcèlement dans la cour de l'école.","Lembre os seus filhos de que, caso leiam ou vejam algo que os perturbe no Azoomee Chat - tal como mensagens agressivas ou negatividade constante - devem falar sobre isso consigo ou com um adulto de confiança. Isso é cyber bullying, e é tão prejudicial como bullying na vida real.","Ricorda ai bambini che se dovessero trovare qualcosa in grado di turbarli sulla chat di Azoomee, come un messaggio di insulti o contenuti estremamente negativi, di parlarne con te o un altro adulto di fiducia. Si tratta spesso di casi di cyberbullismo e sono pericolosi proprio come il bullismo nel mondo reale.","Erinnern Sie Ihre Kinder auch daran, mit Ihnen oder einem anderen Erwachsenen, dem sie vertrauen, zu sprechen, wenn sie im Azoomee-Chat etwas lesen oder erleben, das sie verunsichert – etwa gemeine Nachrichten oder ständige Negativität. Das fällt in die Kategorie Cyber-Mobbing, und das ist genauso schlimm wie Mobbing in der realen Welt.","Υπενθυμίστε στα παιδιά σας ότι εάν διαβάσουν ή βιώσουν κάτι ενοχλητικό στο Azoomee Chat - όπως κακόβουλα μηνύματα ή σταθερή αρνητική συμπεριφορά εναντίον τους - πρέπει να μιλήσουν για αυτό σε εσάς ή σε έναν έμπιστο ενήλικα. Πρόκειται για διαδικτυακό εκφοβισμό, ο οποίος είναι εξίσου επιβλαβής με τον εκφοβισμό στον πραγματικό κόσμο.","Çocuklarınıza, Azoomee üzerinden can sıkıcı şeyler okumaları veya deneyimlemeleri (ör. kötü mesajlar veya devamlı olumsuzluk) halinde, bu konuyu sizinle veya güvenilir bir yetişkinle konuşmaları gerektiğini hatırlatın. Bu sanal zorbalıktır ve gerçek dünyadaki zorbalık kadar zararlıdır.","Sê vir jou kinders dat as hulle iets op Azoomee Chat lees of ervaar wat hulle ontstel, soos nare boodskappe of voortdurende negatiwiteit, moet hulle met jou of ’n vertroude volwassene daaroor gesels. Dit is kuberteistering en is net so skadelik soos teistering in die regte wêreld."
titleAdult5,5/5 Treat others as you would like to be treated,5/5 Trata al prójimo como quisieras que te traten a ti,5/5 Traitez les autres comme vous aimeriez qu'ils vous traitent,5/5 Tratar os outros como gostaríamos que nos tratassem.,5/5 Tratta gli altri esattamente come vorresti che trattassero te.,"5/5 Andere so behandeln, wie man selbst behandelt werden möchte.",5/5 Συμπεριφερθείτε στους άλλους όπως θα θέλατε να σας συμπεριφέρονται,"5/5 Başkalarına, kendinize davranılmasını istediğiniz şekilde davranın",5/5 Behandel ander mense soos jy graag behandel wil word
mainTextAdult5,"It's the golden rule! Children should never say or do anything in Azoomee Chat that might hurt someone's feelings. Tell your kids that if they wouldn't like a certain thing said to them, then they should think before saying it to someone else.","¡Es la regla de oro! En Azoomee Chat, los niños jamás deben decir o hacer nada que pueda herir los sentimientos de otra persona. Di a tus hijos que para recibir un trato amable deberán actuar en consecuencia con las demás personas.","C'est la règle d'or ! Un enfant ne devrait jamais dire ou faire quelque chose sur Azoomee Chat qui risquerait de blesser quelqu'un d'autre. Dites à vos enfants que s'ils n'aimeraient pas qu'on leur dise certaines choses, ils devraient réfléchir avant de dire ces choses aux autres.","É a regra de ouro! As crianças não devem dizer ou fazer seja o que for no Azoomee Chat que possa ferir os sentimentos de alguém. Diga aos seus filhos que se não gostariam que alguém lhes dissesse uma coisa, então devem pensar antes de a dizerem a outra pessoa.","È la regola d’oro! I bambini non dovrebbero mai né dire né fare qualcosa nella chat di Azoomee che possa ferire i sentimenti di qualcuno. Spiega loro che se non gradiscono sentirsi dire alcune cose, dovrebbero sempre pensarci due volte prima di dirle a qualcun altro.","Das ist die goldene Regel! Kinder sollten im Azoomee-Chat nie etwas sagen oder tun, das die Gefühle eines anderen verletzen könnte. Erklären Sie Ihren Kindern, dass sie nichts zu anderen sagen, was sie nicht auch über sich selbst hören möchten.","Είναι ο χρυσός κανόνας! Τα παιδιά δεν πρέπει ποτέ να λένε ή να κάνουν οτιδήποτε στο Azoomee Chat που θα μπορούσε να πληγώσει κάποιον. Πείτε στα παιδιά σας ότι εάν δεν θέλουν να τους μιλούν με συγκεκριμένο τρόπο, τότε και τα ίδια θα πρέπει να σκέφτονται πριν μιλήσουν έτσι σε κάποιον άλλον.","Bu altın kuraldır! Çocuklar Azoomee'de asla başkalarının duygularını incitebilecek şeyler söylememeli veya yapmamalıdır. Çocuklarınıza, kendilerine söylenmesini istemeyecekleri bir şeyi başkasına söylemeden önce düşünmeleri gerektiğini anlatın.","Dit is die belangrikste reël! Kinders moet nooit in Azoomee Chat dinge sê wat iemand se gevoelens seermaak nie. Leer jou kinders dat as hulle daar iets is wat hulle nie graag wil hoor nie, hulle dit liewer ook nie teenoor ander mense moet sê nie."
You have a {dynamic} Account,You have a {dynamic} Account,Tienes una cuenta {dynamic},Vous avez un compte {dynamic},Possui uma conta {dynamic},Hai un account {dynamic},Sie haben ein {dynamic}-Konto.,Έχετε έναν λογαριασμό {dynamic},Bir {dynamic} Hesabınız var,Jy het ’n {dynamic}-rekening
Learn about Subscriptions,Learn about Subscriptions,Información sobre suscripciones,En savoir plus sur les abonnements,Mais informações sobre as Subscrições,Altre informazioni sugli abbonamenti,Informationen über Abonnements,Ενημερωθείτε για τις συνδρομές,Abonelikler hakkında bilgi alın,Meer oor intekeninge
Log out,Log out,Cerrar sesión,Se déconnecter,Terminar a sessão,Esci,Abmelden,Αποσύνδεση,Oturumu kapatın,Meld af
Terms of Use,Terms of Use,Términos de uso,Conditions d'utilisation,Termos de Utilização,Termini di utilizzo,Nutzungsbedingungen,Όροι χρήσης,Kullanım Koşulları,Gebruikbepalings
Version Number,Version Number,Número de versión,Version,Versão número,Versione numero,Versionsnummer,Αριθμός έκδοσης,Sürüm Numarası,Weergawe-nr.
PRIVACY & SAFETY,PRIVACY & SAFETY,PRIVACIDAD Y SEGURIDAD,CONFIDENTIALITÉ ET SÉCURITÉ,PRIVACIDADE E SEGURANÇA,PRIVACY E SICUREZZA,DATENSCHUTZ UND SICHERHEIT,ΑΠΌΡΡΗΤΟ ΚΑΙ ΑΣΦΆΛΕΙΑ,GIZLILIK VE GÜVENLIK,PRIVAATHEID EN VEILIGHEID
Kid Code:,Kid Code:,Código infantil:,Code enfant :,Código da Criança:,Codice bambino:,Kindercode:,Κωδικός παιδιού:,Çocuk Kodu:,Kinderkode:
LAST MESSAGES,LAST MESSAGES,ÚLTIMOS MENSAJES,DERNIERS MESSAGES,ÚLTIMAS MENSAGENS,ULTIMI MESSAGGI,LETZTE NACHRICHTEN,ΤΕΛΕΥΤΑΊΑ ΜΗΝΎΜΑΤΑ,SON MESAJLAR,MEES ONLANGSE BOODSKAPPE
MY GALLERY,MY GALLERY,MI GALERÍA,MA GALERIE,A MINHA GALERIA,LA MIA GALLERIA,MEINE GALERIE,Η ΔΙΚΉ ΜΟΥ GALLERY,GALERIM,MY GALERY
MY FAVOURITES,MY FAVOURITES,MIS FAVORITOS,MES FAVORIS,OS MEUS FAVORITOS,I MIEI PREFERITI,MEINE FAVORITEN,ΤΑ ΑΓΑΠΗΜΈΝΑ ΜΟΥ,FAVORILERIM,MY GUNSTELINGE
MY DOWNLOADS,MY DOWNLOADS,MIS DESCARGAS,MES TÉLÉCHARGEMENTS,AS MINHAS TRANSFERÊNCIAS,I MIEI DOWNLOAD,MEINE DOWNLOADS,ΤΑ ΔΙΚΆ ΜΟΥ DOWNLOADS,İNDIRDIKLERIM,MY AFLAAIE
When you play games they'll become available offline.,When you play games they'll become available offline. ,Disfruta de algunos juegos y aparecerán aquí. Podrás volver a jugar cuando no estés en línea.,"Les jeux auxquels vous jouez apparaîtront ici, vous pourrez ensuite y jouer hors ligne.",Jogue alguns jogos para poder jogá-los quando estiver offline,"Una volta giocato ad alcuni giochi, compariranno qui. Ora potrai giocarli anche quando sei offline.","Spiele ein paar Spiele, dann erscheinen sie hier und du kannst sie auch offline spielen.","Παίξε παιχνίδια και αυτά θα εμφανιστούν εδώ. Έτσι, θα μπορείς να τα παίζεις και όταν είσαι εκτός σύνδεσης",Oynadığınız oyunlar burada görüntülenir ve çevrimdışı olduğunuzda da oynanabilir,"Speel speletjies en hulle verskyn hier, sodat jy dit weer kan speel wanneer jy vanlyn is"
Featured,Featured,Destacados,Têtes d'affiche,Em destaque,In risalto,Empfohlen,Προτεινόμενα,Öne Çıkanlar,Glansitems
Classic games,Classic games,Juegos clásicos,Classiques,Jogos clássicos,Classici,Klassische Spiele,Κλασσικά παιχνίδια,Klasik oyunlar,Klassieke speletjies
Popular,Popular,Populares,Populaires,Populares,Popolari,Beliebt,Δημοφιλή,Popüler,Gewild
Coming Soon,Coming Soon,Próximamente,À venir,Brevemente,In arrivo,Demnächst verfügbar,Έρχονται σύντομα,Çok Yakında,Binnekort hier
Creative,Creative,Creativos,Créatifs,Criativos,Creativi,Kreativ,Δημιουργικά,Yaratıcı,Kreatief
Action and Adventure,Action and Adventure,Acción y aventuras,Action et aventure,Ação e aventura,Azione e avventura,Action und Abenteuer,Δράση και περιπέτεια,Aksiyon ve Macera,Aksie en avontuur
Skill,Skill,Habilidad,Adresse,Perícia,Abilità,Geschicklichkeit,Δεξιότητες,Beceri,Vaardighede
Sport,Sport,Deportes,Sport,Desporto,Sport,Sport,Αθλήματα,Spor,Sport
Just for fun,Just for fun,Casuales,Détente,Pura diversão,Puro divertimento,Nur zum Spaß,Μόνο για διασκέδαση,Sadece eğlence için,Net vir die pret
Stories,Stories,Historias,Histoires,Histórias,Storie,Geschichten,Ιστορίες,Hikayeler,Verhale
Type a message here...,Type a message here...,Escribe aquí un mensaje...,Saisissez un message...,Escreva aqui uma mensagem...,Digita qui un messaggio...,Hier eine Nachricht eingeben...,Πληκτρολόγησε ένα μήνυμα εδώ...,Buraya bir mesaj yazın...,Tik ’n boodskap hier...
Do you really want to report this chat to your parents?,Do you really want to report this chat to your parents?,¿Quieres informar a tus padres sobre este chat?,Veux-tu vraiment signaler cette discussion à tes parents ?,Queres mesmo denunciar este chat aos teus pais?,Vuoi segnalare questa chat ai tuoi genitori?,Möchtest du deinen Eltern diesen Chat wirklich melden?,Θέλεις πραγματικά να αναφέρεις αυτό το chat στους γονείς σου;,Gerçekten bu sohbeti ebeveynlerinize bildirmek istiyor musunuz?,Wil jy regtig hierdie klets aan jou ouers rapporteer?
Report,Report,Informar,Signaler,Denunciar,Segnala,Melden,Αναφορά,Bildir,Rapporteer
online safety tips,online safety tips,consejos sobre seguridad en línea,conseils de sécurité en ligne,dicas para segurança online,Suggerimenti sulla sicurezza online,Tipps zur Online-Sicherheit,συμβουλές για την ασφάλεια στο διαδίκτυο,çevrimiçi güvenlik ipuçları,aanlyn veiligheidswenke
Welcome to your Me Page!,Welcome to your Me Page!,¡Bienvenido a tu Mi página!,Bienvenue sur ta page !,Bem-vindo à tua ‘A minha página’!,Ti diamo il benvenuto alla tua Pagina personale!,Willkommen auf deiner Me-Seite!,Καλώς ήλθατε στη σελίδα Me Page!,Benim Sayfam'a hoş geldiniz!,Welkom by jou Ek-bladsy!
That was a great video! Here's a cool game to try:,That was a great video! Here's a cool game to try:,¡El vídeo ha molado mogollón! Prueba este divertidísimo juego:,Cette vidéo était super ! Tu peux aussi essayer ce jeu :,Esse vídeo foi fantástico! Aqui tens um jogo incrível para experimentares:,Ho visto un fantastico video! Ecco un gioco fantastico da provare:,Das war ein tolles Video! Probier mal dieses coole Spiel aus:,Αυτό το βίντεο ήταν υπέροχο! Να ένα τέλειο παιχνίδι για να δοκιμάσεις:,Bu harika bir videoydu! İşte denemen için harika bir oyun:,Dit was ’n mooi video! Hier is ’n oulike speletjie om te probeer:
Awesome! Want another go?,Awesome! Want another go?,¡Flipante! ¿Otra partidita?,Génial ! Tu veux réessayer ?,Excelente! Queres jogar outra vez?,Straordinario! Vuoi un altro tentativo?,Fantastisch! Möchtest du es noch einmal probieren?,Φοβερό! Θέλεις να ξαναπαίξεις;,Muhteşem! Bir kez daha denemek ister misin?,Fantasties! Wil jy weer probeer?
Play Again,Play Again,Volver a jugar,Rejouer,Jogar outra vez,Gioca ancora,Erneut spielen,Ξαναπαίξε,Yeniden Oyna,Speel weer
